id_ads,title,detail_ads,availability,created_at,price,bid_allowed,id_product,id_user
1,Organized fault-tolerant model,Accusantium qui minima libero maiores a ut nisi. Vero doloremque nesciunt modi asperiores vel nam.,True,2023-04-01 18:02:36,51843000,False,32,24
2,Persevering dynamic projection,Reprehenderit et saepe magnam. Ipsam ex fugiat voluptatem omnis voluptate.,True,2023-02-08 08:39:48,61043545,False,22,6
3,Customer-focused modular functionalities,Asperiores vero quo aliquid.,True,2022-09-08 15:11:37,77958566,False,31,25
4,Open-architected client-server encoding,Similique dicta aliquam deserunt aspernatur. Beatae illum rem dolorum maxime in.,False,2022-07-24 10:21:27,7354048,False,1,15
5,Enhanced user-facing infrastructure,Cupiditate est veritatis temporibus nemo ab aperiam quia. Magnam veniam ratione officiis id tenetur. Eligendi culpa quos impedit quidem est.,True,2022-11-16 08:28:59,77855677,False,30,4
6,Business-focused coherent ability,Error laboriosam facilis praesentium ipsum officia. Itaque sint vitae dolorem fuga ducimus quia. Dolorem dolorum saepe dolorum vitae. Magnam quibusdam optio voluptatibus ab voluptatibus.,False,2022-07-29 05:12:42,13843631,True,45,1
7,Multi-channeled didactic knowledge user,Quisquam neque optio deleniti magnam. Qui sint quos. Dolorum eos sed magnam quae.,True,2023-04-02 14:34:33,36999931,False,43,16
8,Secured grid-enabled Graphical User Interface,Amet necessitatibus voluptatem quis error. Facilis porro commodi perspiciatis et officiis. Alias repellendus minima possimus aut illo.,True,2023-02-09 07:29:07,34908572,False,7,2
9,Front-line needs-based website,Quas ex adipisci eaque. Rem natus nostrum doloremque animi.,False,2023-03-15 02:41:32,19249807,False,10,18
10,User-centric responsive instruction set,Explicabo provident quis dignissimos. Perspiciatis ipsam et inventore iste sed iusto. Vel laboriosam minima distinctio alias modi mollitia eius.,True,2023-05-20 11:07:18,81866548,True,12,20
11,De-engineered high-level firmware,Maiores sit quis laboriosam cum perferendis nulla. Voluptas aperiam fugiat dignissimos aperiam est. Odit in ipsam fugiat dolores. Ex aut voluptatum dolores officia accusamus dicta facere.,False,2022-07-19 15:58:45,84940897,False,7,5
12,Assimilated background artificial intelligence,Alias eum unde est totam. Odio suscipit corrupti error architecto sunt dolores. Praesentium et error dolorem. Commodi perferendis ratione provident cupiditate consectetur.,False,2022-11-27 03:50:09,52495339,False,14,26
13,Persistent interactive pricing structure,Qui a modi. Nam velit commodi doloremque nemo. Commodi debitis natus soluta dolorum reiciendis laboriosam.,False,2022-09-14 10:43:03,46317937,True,38,11
14,Synergized demand-driven methodology,Quam praesentium nostrum voluptatem. Maxime autem ratione voluptas alias aut repellat. Harum et iste laboriosam officiis.,False,2022-11-02 00:17:36,96132245,True,9,18
15,Horizontal incremental knowledgebase,Eligendi facere culpa eveniet itaque aliquid amet. Modi nulla optio quas.,False,2022-07-11 14:01:12,23469570,False,46,17
16,Business-focused optimizing capacity,Soluta vero ratione accusamus adipisci. Molestias omnis deleniti veniam. Magnam aliquid vitae facilis veniam enim adipisci architecto.,False,2022-08-01 20:36:39,92435567,False,39,2
17,Secured non-volatile array,Consequuntur voluptatibus quasi deserunt minus aliquid. Impedit incidunt ullam non voluptatibus enim libero porro.,True,2022-11-08 02:11:52,71813651,False,24,20
18,Reduced homogeneous throughput,Iste fugiat officiis. Reprehenderit perspiciatis repellat officiis.,False,2022-08-19 21:55:07,23743814,True,14,18
19,Re-contextualized composite knowledgebase,Molestiae cupiditate sint doloribus. Exercitationem id magnam. Consectetur animi at esse.,True,2022-09-15 13:41:32,48846952,False,41,18
20,Implemented executive service-desk,Esse hic veniam nihil eveniet nostrum. Molestiae ducimus fugiat aspernatur.,True,2023-03-30 14:01:12,68215562,False,30,3
21,Visionary zero-defect knowledgebase,Aliquid veritatis cum. Iure odio rerum accusantium facilis. Eaque beatae blanditiis tempore rerum.,True,2022-07-25 08:12:36,30223489,False,18,28
22,Quality-focused tertiary task-force,Optio aut minus doloremque quisquam. Fugit commodi corrupti. Iusto quis corporis accusantium cupiditate accusamus itaque.,False,2022-09-23 09:25:33,12437992,True,44,10
23,Realigned human-resource encoding,Repellat dolor voluptas nemo quasi reiciendis. Odit nesciunt consequatur laudantium voluptate.,True,2023-03-18 09:27:01,93678315,True,32,11
24,Expanded heuristic algorithm,Rem nesciunt error numquam totam aut. Autem libero esse at illum excepturi iste. Similique hic quas impedit deleniti quaerat architecto.,False,2023-05-20 02:32:47,65159818,False,33,5
25,Mandatory solution-oriented encoding,Voluptatibus eius inventore porro autem hic reiciendis dolores. Ab consequatur minus autem. A iste dolorum dolorum qui explicabo corrupti.,False,2023-05-19 17:11:30,9828250,True,21,17
26,Polarized clear-thinking knowledge user,Reprehenderit alias veniam cupiditate pariatur. Consequuntur ipsa et suscipit sed.,True,2022-10-14 14:34:20,39415550,False,40,26
27,Automated composite methodology,Aliquam eos temporibus ea suscipit esse. Distinctio placeat similique ad amet ab ad. Quisquam inventore reprehenderit.,False,2022-12-24 17:45:16,66535656,True,46,13
28,Streamlined systematic initiative,Maiores nisi quisquam quaerat delectus. Tempore ipsum vitae maiores iusto dicta eos. Excepturi sit soluta quas soluta.,True,2023-06-05 12:25:00,67125773,True,4,12
29,Focused intermediate software,Dicta consectetur asperiores eius quam. Architecto ipsam soluta. Blanditiis culpa qui esse commodi libero nihil.,True,2022-09-11 02:15:28,91800370,False,3,11
30,Quality-focused local structure,Enim blanditiis maxime nesciunt nam impedit. Error velit dicta fugit necessitatibus. Accusantium officia soluta debitis temporibus consequatur. Sunt voluptatibus nesciunt nisi alias perferendis dolor.,True,2022-08-28 04:37:11,53243408,False,7,27
31,Quality-focused cohesive flexibility,Sint laborum dolorum illum voluptate accusantium officia vel. Alias deleniti itaque dolores.,True,2023-04-06 10:07:44,93255727,True,20,15
32,Ergonomic background open system,Facere quae hic excepturi numquam doloribus dolorem. Deserunt reiciendis alias enim facilis eos. Facilis excepturi incidunt soluta.,False,2023-04-30 22:22:20,91310942,True,19,4
33,Profound clear-thinking emulation,Placeat quaerat quas ducimus totam possimus repudiandae. Aspernatur officiis minus sapiente incidunt. Eaque excepturi atque hic ducimus. Quo natus officiis quibusdam itaque sequi architecto velit.,False,2023-07-04 21:45:24,33071329,False,14,21
34,Cross-platform needs-based migration,Modi similique dolor cumque dolorum placeat corrupti. Numquam nam velit amet. Aspernatur nihil eligendi totam quidem.,False,2022-07-13 01:37:10,13776987,True,15,16
35,Phased contextually-based migration,Excepturi accusantium debitis quas et sed inventore. Voluptate eum laborum accusantium iure voluptate.,True,2023-01-24 19:44:15,92356065,False,41,5
36,Public-key clear-thinking matrices,Laboriosam soluta atque perspiciatis molestias. Dignissimos velit nobis laboriosam. Ullam consequuntur nisi illo natus quia.,False,2023-06-13 09:09:17,31293445,False,47,7
37,Ergonomic optimal focus group,Ipsa magnam eveniet veniam ullam. Earum reprehenderit reiciendis quisquam.,True,2022-12-24 10:31:21,93845194,True,34,30
38,Self-enabling multi-tasking protocol,Dolorem eum possimus soluta illo cum. Excepturi iste laudantium aperiam.,False,2023-03-02 10:05:38,96689003,False,8,11
39,Managed system-worthy secured line,Inventore nemo assumenda quisquam. Magnam odio nihil doloremque. Totam tenetur culpa aliquam sapiente recusandae harum impedit.,False,2022-11-07 23:20:04,90348575,False,14,25
40,Horizontal empowering model,Eligendi vel sequi occaecati. Eos laboriosam vero totam reprehenderit magni.,False,2022-12-02 19:57:23,96233892,False,28,30
41,Progressive uniform Local Area Network,Voluptatibus inventore doloribus nihil. Excepturi provident laborum fugit deserunt illum cum. Temporibus harum alias est id.,True,2022-12-12 18:07:28,64822928,False,36,2
42,Fundamental mission-critical collaboration,Ex nemo cumque alias architecto. Enim aliquam vero.,False,2023-01-29 04:44:41,65885524,False,17,21
43,Balanced full-range productivity,Corporis totam ad ut quis dolor.,True,2022-09-15 06:48:52,42708479,False,18,30
44,Secured radical help-desk,Illo hic doloribus amet delectus ut.,False,2022-07-30 22:27:34,77565580,True,7,2
45,Horizontal regional policy,Cumque dolorum voluptatum ad molestiae. Iusto et corporis non dicta doloribus assumenda. Eligendi incidunt quam sequi velit voluptate quaerat.,False,2023-03-29 15:02:15,51482509,False,9,11
46,Profit-focused asynchronous monitoring,Velit soluta iure nostrum. Accusantium in voluptates.,False,2022-07-24 01:05:05,83324295,True,19,11
47,Proactive zero tolerance core,Iure suscipit magnam eaque eos. Tempore facilis fuga officia deserunt libero placeat.,True,2023-03-23 17:26:18,15301373,True,38,26
48,Team-oriented intermediate frame,Molestias laudantium repellat voluptatum accusamus odit natus. Explicabo consectetur nulla totam iusto nemo magni. Enim nulla accusantium fuga veniam saepe harum.,False,2022-12-20 21:56:48,26239379,True,31,16
49,Devolved cohesive alliance,Nulla molestiae doloribus magni exercitationem excepturi. Ipsum dignissimos tempore expedita possimus.,True,2022-10-27 03:40:04,74778401,True,49,20
50,Proactive web-enabled support,Quaerat ad vitae adipisci tempore ex ratione. Itaque perspiciatis cumque. Eligendi vel voluptas architecto quisquam consectetur.,True,2023-02-10 18:16:57,51750445,False,32,24
